n,program
3,inverse
3,tdr-inverse
3,cpu-inverse
4,inverse
4,tdr-inverse
4,cpu-inverse
6,inverse
6,tdr-inverse
6,cpu-inverse
10,inverse
10,tdr-inverse
10,cpu-inverse
50,inverse
50,tdr-inverse
50,cpu-inverse
100,inverse
100,tdr-inverse
100,cpu-inverse
150,inverse
150,tdr-inverse
150,cpu-inverse
200,inverse
200,tdr-inverse
200,cpu-inverse
256,inverse
256,tdr-inverse
256,cpu-inverse
512,inverse
512,tdr-inverse
512,cpu-inverse
1024,inverse
1024,tdr-inverse
1024,cpu-inverse
2000,inverse
2000,tdr-inverse
2000,cpu-inverse
2048,inverse
2048,tdr-inverse
2048,cpu-inverse
3000,inverse
3000,tdr-inverse
3000,cpu-inverse
4096,inverse
4096,tdr-inverse
4096,cpu-inverse
